theta_deg,xi0,xi0_fit_free,xi0_fit_p1,xi0_fit_constrained,tau_p_s,tau_fit_constrained,tau_fit_direct_power,exponent_E,log_res_xi_free,log_res_xi_constrained,log_res_tau_constrained,log_res_tau_direct_power,tau_xi0_exp_minus_E
-29.6,75.46945486724162,75.46181804836984,75.44920155035499,75.4618180482723,1.0175753497646811e-16,1.0176783295074533e-16,1.0184857138400922e-16,0.1019700574147517,-0.00010119597788804668,-0.00010119597918034628,0.00010119597759228327,0.0008942405042304813,6.935100477359352e-15
-29.58,80.77007399682873,80.76723797280343,80.75847179654765,80.76723797269734,9.484279588062724e-17,9.484612614735895e-17,9.48860005968647e-17,0.0994764452438187,-3.511292828850543e-05,-3.511292960212131e-05,3.5112928010505584e-05,0.00045543657880386945,6.93510047735935e-15
-29.56,86.94208859904252,86.94328207164307,86.93863154937716,86.94328207152692,8.79036070879451e-17,8.790240043291685e-17,8.790578701014179e-17,0.0971322677545559,1.372711914715552e-05,1.3727117811335177e-05,-1.3727119402062726e-05,2.4798699840289373e-05,6.9351004773593506e-15
-29.54,94.219041595753,94.22336950059773,94.22310582597339,94.22336950046962,8.093699455923717e-17,8.093327692937025e-17,8.090642594278842e-17,0.0949424871954619,4.5933447999857435e-05,4.5933446640056275e-05,-4.593344822723111e-05,-0.0003777554468058497,6.935100477359348e-15
-29.52,102.92612570421886,102.93254052604091,102.93692395140253,102.93254052589837,7.393981763797401e-17,7.393520966118814e-17,7.388613710520117e-17,0.0929121707932541,6.232258220251197e-05,6.232258081784181e-05,-6.232258240146393e-05,-0.0007262667131158196,6.935100477359349e-15
-29.5,113.53003179994168,113.53729810003219,113.54654375696873,113.53729809987188,6.690876097207852e-17,6.690447886262735e-17,6.684278169934652e-17,0.0910464929845803,6.400128187689091e-05,6.40012804655754e-05,-6.400128205541478e-05,-0.0009865946480474008,6.935100477359352e-15
-29.48,126.7253034844112,126.73195609601919,126.74616475800529,126.7319560958365,5.984032588592316e-17,5.983718465414551e-17,5.977374264020494e-17,0.0893507377002121,5.2494938361569154e-05,5.249493692005558e-05,-5.2494938508118594e-05,-0.0011133013602133701,6.935100477359349e-15
-29.46,143.592725239037,143.5970265923885,143.61604145169522,143.5970265921769,5.2730821160831276e-17,5.272924164417564e-17,5.267574482939817e-17,0.0878303007031053,2.9954783026475695e-05,2.9954781552987697e-05,-2.9954783144603425e-05,-0.0010450266722585866,6.935100477359349e-15
-29.44,165.91116619144046,165.91108488404845,165.9341823245682,165.91108488379814,4.5576353178930466e-17,4.557637551435073e-17,4.554457259472575e-17,0.0864906919817281,-4.900659424933451e-07,-4.900674506203018e-07,4.900658581163952e-07,-0.0006975474672472615,6.935100477359348e-15
-29.419999999999995,196.82973844346577,196.82302763015497,196.8482035039886,196.82302762985032,3.837281538116959e-17,3.8374123728079095e-17,3.837459834974849e-17,0.0853375382000446,-3.4095090343022605e-05,-3.409509189111759e-05,3.409509029950186e-05,4.646328762447638e-05,6.935100477359352e-15
-29.4,242.5018170459568,242.48647964074055,242.50863233925966,242.48647964035473,3.1115876987080776e-17,3.11178450836721e-17,3.115793262082391e-17,0.0843765852057444,-6.324855806294494e-05,-6.324855965367249e-05,6.324855806383312e-05,0.0013506686165953852,6.935100477359352e-15
-29.38,316.78970005089906,316.76602361486755,316.7716065872003,316.76602361434834,2.3800970918493605e-17,2.3802749904002796e-17,2.3882716708462647e-17,0.0836137005981561,-7.474144785746262e-05,-7.474144949703998e-05,7.47414479036479e-05,0.0034286723246239603,6.93510047735935e-15
-29.36,458.8419449739012,458.82223631944146,458.7695059929481,458.8222363186667,1.6423280865138826e-17,1.6423986325212015e-17,1.6529092780045567e-17,0.083054876357454,-4.2953958243607815e-05,-4.295395993292317e-05,4.295395834219562e-05,0.006422133939096852,6.9351004773593506e-15
-29.34,839.0835405502019,839.1582194842662,838.8685382081221,839.1582194828302,8.977727424706845e-18,8.976928472735799e-18,9.056646668723424e-18,0.0827062315367858,8.899663432515581e-05,8.8996632613636e-05,-8.899663420436354e-05,0.008752147135844268,6.93510047735935e-15
-29.32,5162.651656810775,5162.622783397135,5162.8685957023245,5162.622783393897,1.4589532443317249e-18,1.4589614039349008e-18,1.3231706558187517e-18,0.0825740150189916,-5.592764397377437e-06,-5.592765024431401e-06,5.5927634363683865e-06,-0.09768835428456413,6.9351004773593506e-15
