theta,x_p_A,y_p_A,d_A,k,xi_p,eta_p,delta,tau_s,tau_ns,tau_ps,tau_log10_s,tau_ratio,phi,phi_inv2
-0.6,0.9746643850903217,-0.5646424733950354,1.1264065812685746,-0.5793198992725175,9.746643850903217,-5.6464247339503535,11.264065812685745,2.639288418887409,2639288418.8874087,2639288418887.4087,0.4214868520946054,9454210.526454633,1.618033988749895,0.38196601125010515
-0.599,0.9741001553788068,-0.5638168555964684,1.125504579894593,-0.5788078900133344,9.741001553788067,-5.638168555964684,11.25504579894593,2.506600793864275,2506600793.864275,2506600793864.275,0.3990851728784329,8978909.406559296,1.618033988749895,0.38196601125010515
-0.598,0.9735367515670678,-0.5629906739810929,1.1246031769657436,-0.5782942175268336,9.735367515670678,-5.629906739810929,11.246031769657435,2.3807606039721962,2380760603.972196,2380760603972.1963,0.37671572736585013,8528136.524211612,1.618033988749895,0.38196601125010515
-0.597,0.9729741742185082,-0.5621639293750903,1.1237023748246817,-0.577778880746367,9.729741742185082,-5.621639293750903,11.237023748246816,2.2614059920861096,2261405992.0861096,2261405992086.1094,0.3543785385922849,8100595.668881361,1.618033988749895,0.38196601125010515
-0.596,0.9724124238957055,-0.5613366226052051,1.1228021758192934,-0.5772618786135648,9.724124238957055,-5.613366226052051,11.228021758192934,2.148194644616107,2148194644.616107,2148194644616.107,0.3320736295661052,7695060.637050241,1.618033988749895,0.38196601125010515
-0.595,0.97185150116041,-0.5605087544987442,1.121902582302704,-0.5767432100783768,9.718515011604099,-5.605087544987441,11.219025823027039,2.0408027145254506,2040802714.5254507,2040802714525.4507,0.3098010232686486,7310371.374348379,1.618033988749895,0.38196601125010515
-0.594,0.9712914065735443,-0.5596803258835754,1.1210035966332843,-0.5762228740991105,9.712914065735442,-5.596803258835754,11.210035966332843,1.9389238048184376,1938923804.8184376,1938923804818.4377,0.2875607426542113,6945430.334300245,1.618033988749895,0.38196601125010515
-0.593,0.970732140695203,-0.5588513375881274,1.1201052211746585,-0.5757008696424726,9.70732140695203,-5.588513375881274,11.201052211746584,1.8422680090431414,1842268009.0431414,1842268009043.1414,0.26535281065002353,6599199.041303905,1.618033988749895,0.38196601125010515
-0.592,0.9701737040846518,-0.5580217904413884,1.1192074582957112,-0.5751771956836079,9.701737040846517,-5.580217904413884,11.192074582957112,1.7505610055548204,1750561005.5548203,1750561005554.8203,0.243177250156273,6270694.846186652,1.618033988749895,0.38196601125010515
-0.591,0.9696160973003274,-0.5571916852729055,1.1183103103705958,-0.5746518512061396,9.696160973003273,-5.571916852729055,11.183103103705957,1.6635432024739734,1663543202.4739733,1663543202473.9734,0.22103408404608885,5958987.863354248,1.618033988749895,0.38196601125010515
-0.59,0.9690593208998365,-0.5563610229127838,1.1174137797787405,-0.5741248352022096,9.690593208998365,-5.563610229127837,11.174137797787404,1.5809689304514425,1580968930.4514425,1580968930451.4424,0.1989233351655551,5663198.079190062,1.618033988749895,0.38196601125010515
-0.589,0.9685033754399555,-0.5555298041916854,1.1165178689048552,-0.5735961466725179,9.685033754399553,-5.555298041916854,11.16517868904855,1.5026056805195573,1502605680.5195572,1502605680519.5574,0.17684502633365687,5382492.621957187,1.618033988749895,0.38196601125010515
-0.588,0.9679482614766297,-0.5546980299408292,1.1156225801389408,-0.5730657846263634,9.679482614766297,-5.5469802994082915,11.156225801389407,1.4282333844668589,1428233384.4668589,1428233384466.859,0.15479918034236695,5116083.184024508,1.618033988749895,0.38196601125010515
-0.587,0.9673939795649732,-0.5538657009919893,1.1147279158762928,-0.5725337480816831,9.673939795649732,-5.538657009919892,11.147279158762927,1.357643735320107,1357643735.320107,1357643735320.107,0.13278581995652985,4863223.587761327,1.618033988749895,0.38196601125010515
-0.586,0.9668405302592676,-0.5530328181774945,1.113833878517512,-0.5720000360650928,9.668405302592676,-5.530328181774944,11.138338785175119,1.2906395456594733,1290639545.6594732,1290639545659.4731,0.11080496791396525,4623207.486954441,1.618033988749895,0.38196601125010515
-0.585,0.9662879141129624,-0.5521993823302276,1.1129404704685084,-0.5714646476119265,9.662879141129624,-5.521993823302275,11.129404704685083,1.2270341416212476,1227034141.6212475,1227034141621.2476,0.08885664692539458,4395366.19606169,1.618033988749895,0.38196601125010515
-0.584,0.9657361316786737,-0.5513653942836244,1.11204769414051,-0.5709275817662774,9.657361316786735,-5.513653942836243,11.1204769414051,1.1666507905682986,1166650790.5682986,1166650790568.2986,0.06694087967447401,4179066.6400669543,1.618033988749895,0.38196601125010515
-0.583,0.9651851835081836,-0.5505308548716729,1.1111555519500682,-0.5703888375810371,9.651851835081835,-5.505308548716728,11.111555519500682,1.1093221605233565,1109322160.5233564,1109322160523.3564,0.04505768881775372,3973709.418112943,1.618033988749895,0.38196601125010515
-0.582,0.9646350701524405,-0.5496957649289124,1.1102640463190665,-0.5698484141179362,9.646350701524405,-5.496957649289123,11.102640463190664,1.0548898095708106,1054889809.5708106,1054889809570.8105,0.02320709698474094,3778726.97448438,1.618033988749895,0.38196601125010515
-0.581,0.9640857921615578,-0.5488601252904327,1.1093731796747242,-0.569306310447584,9.640857921615577,-5.488601252904327,11.09373179674724,1.003203703534675,1003203703.534675,1003203703534.675,0.001389126777813451,3593581.8708794187,1.618033988749895,0.38196601125010515
-0.58,0.9635373500848131,-0.5480239367918736,1.108482954449606,-0.5687625256495091,9.63537350084813,-5.480239367918736,11.08482954449606,0.9541217603389797,954121760.3389797,954121760338.9796,-0.020396199227711083,3417765.154260322,1.618033988749895,0.38196601125010515
-0.579,0.9629897444706487,-0.5471872002694232,1.1075933730816265,-0.5682170588121992,9.629897444706486,-5.471872002694232,11.075933730816265,0.9075094195467874,907509419.5467874,907509419546.7875,-0.04214885848362828,3250794.814896652,1.618033988749895,0.38196601125010515
-0.578,0.9624429758666699,-0.5463499165598182,1.1067044380140578,-0.5676699090331412,9.624429758666698,-5.463499165598182,11.067044380140578,0.8632392356613775,863239235.6613775,863239235661.3774,-0.06386882846882061,3092214.329527054,1.618033988749895,0.38196601125010515
